CONTACT_CARD_ID,ENFORCEMENT_TYPE_CD,GANG,GANG_OTHER_I,GANG_OTHER,lat,lon
20087020,ARR,,,,41.73599,-87.63170
20087022,ARR,,,,41.74182,-87.62558
20086970,ARR,,,,41.74182,-87.62558
20086973,ARR,,,,41.73599,-87.63170
20087942,ANOV,,,,41.75084,-87.63066
20090254,,,,,41.73944,-87.63765
20091031,,,,,41.74908,-87.62698
20091985,ANOV,,,,41.75072,-87.63874
20091555,,,,,41.75072,-87.63424
20091781,ANOV,,,,41.75084,-87.63066
20092143,,,,,41.74362,-87.62684
20092139,,,N,,41.74362,-87.62684
20092133,,,Y,,41.74362,-87.62684
20092982,,,,,41.73628,-87.62499
20094991,,,N,,41.73599,-87.63170
20095090,ARR,,,,41.73599,-87.63170
20095373,ARR,,,,41.73170,-87.63498
20095911,,,,,41.73599,-87.63170
20096690,OTH,,,,41.73628,-87.62499
20096743,ANOV,,,,41.73485,-87.63191
20096803,,,,,41.74719,-87.63118
20098391,,,,,41.75065,-87.63425
20099026,,,,,41.73628,-87.62499
20099632,ARR,,,,41.75078,-87.63423
20099661,ARR,,Y,,41.72948,-87.63614
20099653,ARR,,Y,,41.72948,-87.63614
20100654,ANOV,,,,41.73599,-87.63170
20101375,,,,,41.74722,-87.62921
20101595,,,,,41.75091,-87.62703
20101591,,,,,41.75091,-87.62703
20101592,,,,,41.75091,-87.62703
20101711,,,,,41.75032,-87.63433
20102758,,,,,41.74722,-87.62921
20104122,,,,,41.75084,-87.63066
20104129,,,,,41.74362,-87.62684
20104130,,,,,41.74362,-87.62684
20104364,,,,,41.73392,-87.63748
20105424,ANOV,,,,41.74722,-87.62921
20105902,,,,,41.75078,-87.63423
20105906,,,,,41.75078,-87.63423
20105911,,,,,41.75078,-87.63423
20106228,,,,,41.75093,-87.62582
20108423,ANOV,,,,41.74362,-87.62684
20108966,ANOV,,,,41.75084,-87.63066
20108957,ANOV,,,,41.75084,-87.63066
20109286,ARR,,,,41.75084,-87.63066
20109288,ARR,,,,41.75084,-87.63066
20109280,,,,,41.75084,-87.63066
20109277,,,,,41.75084,-87.63066
20109574,,,,,41.75084,-87.63066
20109561,,,,,41.75084,-87.63066
20109576,,,,,41.75084,-87.63066
20109559,,,,,41.75084,-87.63066
20109581,ANOV,,,,41.73541,-87.63873
20110457,,,,,41.74374,-87.63629
20111142,,,,,41.75084,-87.63066
20111143,,,,,41.75084,-87.63066
20111754,,,,,41.75084,-87.63066
20111581,,,,,41.73599,-87.63170
20111713,,,,,41.74361,-87.63451
20111715,,,,,41.74361,-87.63451
20112220,,,,,41.74719,-87.63118
20113093,,,,,41.74722,-87.62921
20113641,,,N,,41.73599,-87.63170
20114702,,,,,41.75084,-87.63066
20115050,ANOV,,,,41.74362,-87.62684
20115341,,,N,,41.74362,-87.62684
20115349,,,N,,41.74362,-87.62684
20116065,,,,,41.74361,-87.63451
20116066,,,,,41.74361,-87.63451
20116067,,,,,41.74361,-87.63451
20116030,,,,,41.74362,-87.62684
20117310,PSC,,,,41.74911,-87.62578
20117908,ARR,,,,41.75032,-87.63433
20118102,,,,,41.73630,-87.62416
20118104,,,,,41.73630,-87.62416
20119594,OTH,,,,41.74318,-87.62562
20119637,,,,,41.74591,-87.63549
20119657,,,,,41.74591,-87.63549
20120179,,,,,41.75093,-87.62582
20120181,,,,,41.75093,-87.62582
20120296,,,,,41.73599,-87.63170
20120960,,,,,41.74796,-87.63423
20120963,,,,,41.74796,-87.63423
20122553,PSC,,,,41.74722,-87.62921
20122555,,,,,41.74722,-87.62921
20122597,,,,,41.73630,-87.62416
20124675,,,,,41.74675,-87.63527
20126807,,,,,41.74722,-87.62921
20127816,,,,,41.74599,-87.62690
20128193,,,,,41.74236,-87.62681
20129049,ARR,,,,41.73599,-87.63170
20129834,,,,,41.74362,-87.62684
20129313,,,,,41.74362,-87.62684
20130767,,,,,41.74589,-87.63549
20130892,ANOV,,,,41.73599,-87.63170
20132354,,,,,41.75078,-87.63423
20132129,,,,,41.75086,-87.62949
