gte_ssl_score,Black Men 20-29,Black Women 20-29,Hispanic Men 20-29,Hispanic Women 20-29,White Men 20-29,White Women 20-29
446,110,7,13,0,3,0
447,107,7,12,0,3,0
448,101,7,11,0,3,0
449,99,6,10,0,3,0
450,96,6,10,0,3,0
451,92,6,9,0,3,0
452,89,6,9,0,3,0
453,88,6,9,0,3,0
454,87,6,8,0,3,0
455,87,6,8,0,3,0
456,83,6,7,0,2,0
457,74,6,6,0,2,0
458,70,6,6,0,2,0
459,68,6,5,0,2,0
460,66,6,5,0,2,0
461,63,6,5,0,2,0
462,61,6,5,0,2,0
463,59,6,5,0,2,0
464,57,6,5,0,2,0
465,57,6,5,0,2,0
466,56,6,5,0,2,0
467,56,6,5,0,2,0
468,52,6,5,0,2,0
469,49,6,5,0,2,0
470,46,6,5,0,2,0
471,43,6,5,0,2,0
472,42,5,5,0,2,0
473,41,5,5,0,2,0
474,41,4,3,0,2,0
475,37,4,3,0,2,0
476,34,4,3,0,2,0
477,34,3,3,0,2,0
478,34,3,3,0,2,0
479,34,3,3,0,2,0
480,33,3,3,0,2,0
481,32,3,3,0,2,0
482,29,3,3,0,2,0
483,26,3,3,0,2,0
484,24,3,3,0,2,0
485,24,3,3,0,2,0
486,24,3,3,0,2,0
487,22,3,3,0,2,0
488,22,3,3,0,2,0
489,21,3,3,0,2,0
490,20,3,3,0,2,0
491,19,3,3,0,2,0
492,19,3,3,0,2,0
493,19,3,2,0,2,0
494,19,3,2,0,2,0
495,19,3,2,0,2,0
496,19,3,2,0,2,0
497,19,3,2,0,2,0
498,19,3,1,0,2,0
499,18,3,1,0,2,0
500,18,3,1,0,2,0
